[ 0.36428814  0.63571186]
[ 0.17788404  0.82211596]
[ 0.2977715  0.7022285]
[ 0.01828655  0.98171345]
[ 0.1723015  0.8276985]
[ 0.68943439  0.31056561]
[ 0.27218563  0.72781437]
[ 0.00591883  0.99408117]
[ 0.31079017  0.68920983]
[ 0.19789438  0.80210562]
[ 0.21977652  0.78022348]
[ 0.53682085  0.46317915]
[ 0.2499718  0.7500282]
[ 0.90584221  0.09415779]
[ 0.55756992  0.44243008]
[ 0.33588359  0.66411641]
[ 0.26757875  0.73242125]
[ 0.01990781  0.98009219]
[ 0.08909752  0.91090248]
[ 0.6376928  0.3623072]
[ 0.20891949  0.79108051]
[ 0.05094072  0.94905928]
[ 0.25943149  0.74056851]
[ 0.20891949  0.79108051]
[ 0.53047152  0.46952848]
[ 0.50361601  0.49638399]
[ 0.98650138  0.01349862]
[ 0.69236655  0.30763345]
[ 0.1964127  0.8035873]
[ 0.33052149  0.66947851]
[ 0.12058612  0.87941388]
[ 0.02293227  0.97706773]
[ 0.15537958  0.84462042]
[ 0.01150374  0.98849626]
[ 0.41323411  0.58676589]
[ 0.39724584  0.60275416]
[ 0.10537597  0.89462403]
[ 0.22052488  0.77947512]
[ 0.21680934  0.78319066]
[ 0.33380192  0.66619808]
[ 0.03451517  0.96548483]
[ 0.28002158  0.71997842]
[ 0.05118365  0.94881635]
[ 0.43310973  0.56689027]
[ 0.0263815  0.9736185]
[ 0.32174515  0.67825485]
[ 0.25708852  0.74291148]
[ 0.00885038  0.99114962]
[ 0.98570598  0.01429402]
[ 0.93338254  0.06661746]
[ 0.31191529  0.68808471]
[ 0.29275953  0.70724047]
[ 0.18093185  0.81906815]
[ 0.13109689  0.86890311]
[ 0.99597685  0.00402315]
[ 0.22652505  0.77347495]
[ 0.71750108  0.28249892]
[ 0.52411285  0.47588715]
[ 0.2442868  0.7557132]
[ 0.10490531  0.89509469]
[ 0.60878715  0.39121285]
[ 0.13103807  0.86896193]
[ 0.69618496  0.30381504]
[ 0.16038669  0.83961331]
[ 0.0734018  0.9265982]
[ 0.19237148  0.80762852]
[ 0.08329188  0.91670812]
[ 0.98637017  0.01362983]
[ 0.38032389  0.61967611]
[ 0.29646173  0.70353827]
[ 0.12512496  0.87487504]
[ 0.75218348  0.24781652]
[ 0.68726789  0.31273211]
[ 0.1222052  0.8777948]
[ 0.19539189  0.80460811]
[ 0.2437492  0.7562508]
[ 0.14980905  0.85019095]
[ 0.23726354  0.76273646]
[ 0.98637017  0.01362983]
[ 0.03197242  0.96802758]
[ 0.00885038  0.99114962]
[ 0.25142883  0.74857117]
[ 0.98570598  0.01429402]
[ 0.70058033  0.29941967]
[ 0.57108214  0.42891786]
[ 0.80582228  0.19417772]
[ 0.35802743  0.64197257]
[ 0.25639925  0.74360075]
[ 0.31196115  0.68803885]
[ 0.24530283  0.75469717]
[ 0.24793776  0.75206224]
[ 0.27067811  0.72932189]
[ 0.54695013  0.45304987]
[ 0.35381461  0.64618539]
[ 0.9729228  0.0270772]
[ 0.00885038  0.99114962]
[ 0.3517268  0.6482732]
[ 0.42250558  0.57749442]
[ 0.16797296  0.83202704]
[ 0.15566319  0.84433681]
[ 0.15702456  0.84297544]
[ 0.38204994  0.61795006]
[ 0.49811318  0.50188682]
[ 0.52538234  0.47461766]
[ 0.01524348  0.98475652]
[ 0.36266877  0.63733123]
[ 0.58623919  0.41376081]
[ 0.45754913  0.54245087]
[ 0.00614347  0.99385653]
[ 0.34508277  0.65491723]
[ 0.10269539  0.89730461]
[ 0.05035906  0.94964094]
[ 0.13637574  0.86362426]
[ 0.85683882  0.14316118]
[ 0.21994972  0.78005028]
[ 0.35569398  0.64430602]
[ 0.14959657  0.85040343]
[ 0.23757516  0.76242484]
[ 0.50575095  0.49424905]
[ 0.25799638  0.74200362]
[ 0.00242174  0.99757826]
[ 0.00559615  0.99440385]
[ 0.1178662  0.8821338]
[ 0.00885038  0.99114962]
[ 0.2812444  0.7187556]
[ 0.0969994  0.9030006]
[ 0.00613146  0.99386854]
[ 0.05914425  0.94085575]
[ 0.08878939  0.91121061]
[ 0.26426309  0.73573691]
[ 0.05984861  0.94015139]
[ 0.23512281  0.76487719]
[ 0.18946098  0.81053902]
[ 0.00594031  0.99405969]
[ 0.14724554  0.85275446]
[ 0.22686568  0.77313432]
[ 0.10783982  0.89216018]
[ 0.10036974  0.89963026]
[ 0.21024472  0.78975528]
[ 0.27170407  0.72829593]
[ 0.58754822  0.41245178]
[ 0.22252177  0.77747823]
[ 0.12745117  0.87254883]
[ 0.09539659  0.90460341]
[ 0.08426814  0.91573186]
[ 0.17582672  0.82417328]
[ 0.1270464  0.8729536]
[ 0.00885038  0.99114962]
[ 0.47923337  0.52076663]
[ 0.30509486  0.69490514]
[ 0.88529979  0.11470021]
[ 0.55219389  0.44780611]
[ 0.7086005  0.2913995]
[ 0.60030658  0.39969342]
[ 0.09967243  0.90032757]
[ 0.38482485  0.61517515]
[ 0.23721046  0.76278954]
[ 0.07394938  0.92605062]
[ 0.06422515  0.93577485]
[ 0.35968644  0.64031356]
[ 0.16145497  0.83854503]
[ 0.24951084  0.75048916]
[ 0.01175756  0.98824244]
[ 0.56028512  0.43971488]
[ 0.16348773  0.83651227]
[ 0.02046374  0.97953626]
[ 0.39194294  0.60805706]
[ 0.42258415  0.57741585]
[ 0.09688832  0.90311168]
[ 0.50806611  0.49193389]
[ 0.17190733  0.82809267]
[ 0.01303216  0.98696784]
[ 0.22959978  0.77040022]
[ 0.31111016  0.68888984]
[ 0.09369889  0.90630111]
[ 0.09127754  0.90872246]
[ 0.23726354  0.76273646]
[ 0.19469366  0.80530634]
[ 0.13741335  0.86258665]
[ 0.29381851  0.70618149]
[ 0.15459141  0.84540859]
[ 0.14955381  0.85044619]
[ 0.29970737  0.70029263]
[ 0.16907426  0.83092574]
[ 0.17682437  0.82317563]
[ 0.19408507  0.80591493]
[ 0.2670615  0.7329385]
[ 0.26677925  0.73322075]
[ 0.12405184  0.87594816]
[ 0.13589665  0.86410335]
[ 0.49875212  0.50124788]
[ 0.27291909  0.72708091]
[ 0.48027354  0.51972646]
[ 0.29371653  0.70628347]
[ 0.1051953  0.8948047]
[ 0.08336923  0.91663077]
[ 0.02960065  0.97039935]
[ 0.43922994  0.56077006]
[ 0.13262445  0.86737555]
[ 0.19292564  0.80707436]
[ 0.90370973  0.09629027]
[ 0.09603369  0.90396631]
[ 0.31816535  0.68183465]
[ 0.12432093  0.87567907]
[ 0.15807222  0.84192778]
[ 0.72566465  0.27433535]
[ 0.37953435  0.62046565]
[ 0.05550571  0.94449429]
[ 0.49309532  0.50690468]
[ 0.13151263  0.86848737]
[ 0.26030861  0.73969139]
[ 0.06881487  0.93118513]
[ 0.31113104  0.68886896]
[ 0.50925008  0.49074992]
[ 0.16145497  0.83854503]
[ 0.12295877  0.87704123]
[ 0.09641287  0.90358713]
[ 0.08906091  0.91093909]
[ 0.37878815  0.62121185]
[ 0.09905929  0.90094071]
[ 0.01342162  0.98657838]
[ 0.6375236  0.3624764]
[ 0.3186007  0.6813993]
[ 0.10036974  0.89963026]
[ 0.98650138  0.01349862]
[ 0.17470577  0.82529423]
[ 0.08958911  0.91041089]
[ 0.2133702  0.7866298]
[ 0.2789405  0.7210595]
[ 0.18478353  0.81521647]
[ 0.23343612  0.76656388]
[ 0.23060941  0.76939059]
[ 0.183607  0.816393]
[ 0.00885038  0.99114962]
[ 0.23721046  0.76278954]
[ 0.20727227  0.79272773]
[ 0.19024224  0.80975776]
[ 0.71509874  0.28490126]
[ 0.00591883  0.99408117]
[ 0.21791745  0.78208255]
[ 0.1830613  0.8169387]
[ 0.10910474  0.89089526]
[ 0.14744243  0.85255757]
[ 0.38957228  0.61042772]
[ 0.2003427  0.7996573]
[ 0.17150831  0.82849169]
[ 0.11266405  0.88733595]
[ 0.15058006  0.84941994]
[ 0.0603035  0.9396965]
[ 0.19881629  0.80118371]
[ 0.10006648  0.89993352]
[ 0.01041033  0.98958967]
[ 0.09970642  0.90029358]
[ 0.48086969  0.51913031]
[ 0.91975487  0.08024513]
[ 0.32678781  0.67321219]
[ 0.24983185  0.75016815]
[ 0.05914425  0.94085575]
[ 0.01792583  0.98207417]
[ 0.01225833  0.98774167]
[ 0.17079117  0.82920883]
[ 0.36044853  0.63955147]
[ 0.22285662  0.77714338]
[ 0.58619326  0.41380674]
[ 0.2275056  0.7724944]
[ 0.18187545  0.81812455]
[ 0.2781598  0.7218402]
[ 0.17621153  0.82378847]
[ 0.18856994  0.81143006]
[ 0.0939343  0.9060657]
[ 0.01326052  0.98673948]
[ 0.00591883  0.99408117]
[ 0.23774969  0.76225031]
[ 0.10392692  0.89607308]
[ 0.13992028  0.86007972]
[ 0.14461108  0.85538892]
[ 0.8118841  0.1881159]
[ 0.3183777  0.6816223]
[ 0.47113811  0.52886189]
[ 0.04885692  0.95114308]
[ 0.2437492  0.7562508]
[ 0.11319066  0.88680934]
[ 0.00885038  0.99114962]
[ 0.24535643  0.75464357]
[ 0.24307796  0.75692204]
[ 0.25932353  0.74067647]
[ 0.12341049  0.87658951]
[ 0.10332792  0.89667208]
[ 0.10964645  0.89035355]
[ 0.08692134  0.91307866]
[ 0.44506113  0.55493887]
[ 0.60125718  0.39874282]
[ 0.25169917  0.74830083]
[ 0.30897064  0.69102936]
[ 0.34735864  0.65264136]
[ 0.44660834  0.55339166]
[ 0.26201205  0.73798795]
[ 0.3014208  0.6985792]
[ 0.11466502  0.88533498]
[ 0.35682409  0.64317591]
[ 0.50833917  0.49166083]
[ 0.19650126  0.80349874]
[ 0.17676241  0.82323759]
[ 0.06073516  0.93926484]
[ 0.43269577  0.56730423]
[ 0.29821007  0.70178993]
[ 0.04380826  0.95619174]
[ 0.14715561  0.85284439]
[ 0.18289974  0.81710026]
[ 0.28226776  0.71773224]
[ 0.98575724  0.01424276]
[ 0.29261023  0.70738977]
[ 0.22261365  0.77738635]
[ 0.05987059  0.94012941]
[ 0.05271472  0.94728528]
[ 0.25435435  0.74564565]
[ 0.37967168  0.62032832]
[ 0.23792376  0.76207624]
[ 0.30262432  0.69737568]
[ 0.09571775  0.90428225]
[ 0.97584421  0.02415579]
[ 0.3959803  0.6040197]
[ 0.15398209  0.84601791]
[ 0.34469322  0.65530678]
[ 0.10880277  0.89119723]
[ 0.10036974  0.89963026]
[ 0.18452755  0.81547245]
[ 0.8388159  0.1611841]
[ 0.74157818  0.25842182]
[ 0.20688774  0.79311226]
[ 0.19676354  0.80323646]
[ 0.7042642  0.2957358]
[ 0.46009612  0.53990388]
[ 0.29351476  0.70648524]
[ 0.52826672  0.47173328]
[ 0.37310109  0.62689891]
[ 0.14960261  0.85039739]
[ 0.07960766  0.92039234]
[ 0.24307796  0.75692204]
[ 0.20352355  0.79647645]
[ 0.2421237  0.7578763]
[ 0.15074711  0.84925289]
[ 0.01302839  0.98697161]
[ 0.02101425  0.97898575]
[ 0.11211697  0.88788303]
[ 0.1802852  0.8197148]
[ 0.10069932  0.89930068]
[ 0.06949264  0.93050736]
[ 0.07955136  0.92044864]
[ 0.11915272  0.88084728]
[ 0.22970068  0.77029932]
[ 0.08725022  0.91274978]
[ 0.12462369  0.87537631]
[ 0.23726354  0.76273646]
[ 0.59685201  0.40314799]
[ 0.08906091  0.91093909]
[ 0.40873344  0.59126656]
[ 0.08539482  0.91460518]
[ 0.29739571  0.70260429]
[ 0.28030265  0.71969735]
[ 0.31360086  0.68639914]
[ 0.15250022  0.84749978]
[ 0.11859505  0.88140495]
[ 0.39753456  0.60246544]
[ 0.05019664  0.94980336]
[  1.96638777e-04   9.99803361e-01]
[ 0.01059598  0.98940402]
[ 0.24675278  0.75324722]
[ 0.40792018  0.59207982]
[ 0.04794112  0.95205888]
[ 0.42104218  0.57895782]
[ 0.28763174  0.71236826]
[ 0.39516299  0.60483701]
[ 0.03975734  0.96024266]
[ 0.49690789  0.50309211]
[ 0.12998394  0.87001606]
[ 0.48745851  0.51254149]
[ 0.00885038  0.99114962]
[ 0.48275621  0.51724379]
[ 0.23721046  0.76278954]
[ 0.2050463  0.7949537]
[ 0.47260777  0.52739223]
[ 0.12957232  0.87042768]
[ 0.69310673  0.30689327]
[ 0.5616524  0.4383476]
[ 0.98655372  0.01344628]
[ 0.26821206  0.73178794]
[ 0.33527935  0.66472065]
[ 0.09571775  0.90428225]
[ 0.24224789  0.75775211]
[ 0.10069932  0.89930068]
[ 0.34651026  0.65348974]
[ 0.98637017  0.01362983]
[ 0.24307796  0.75692204]
[ 0.16610497  0.83389503]
[ 0.22686568  0.77313432]
[ 0.02155346  0.97844654]
[ 0.23168636  0.76831364]
[ 0.91645549  0.08354451]
[ 0.13645592  0.86354408]
[ 0.47377625  0.52622375]
[ 0.30509486  0.69490514]
[ 0.31189185  0.68810815]
[ 0.21744863  0.78255137]
[ 0.1019508  0.8980492]
[ 0.36067209  0.63932791]
[ 0.10490531  0.89509469]
[ 0.00593858  0.99406142]
[ 0.23532502  0.76467498]
[ 0.29525753  0.70474247]
[ 0.15182167  0.84817833]
[ 0.25377221  0.74622779]
[ 0.21943233  0.78056767]
[ 0.22483911  0.77516089]
[ 0.05053365  0.94946635]
[ 0.04612358  0.95387642]
[ 0.02178666  0.97821334]
[ 0.14778666  0.85221334]
[ 0.11143322  0.88856678]
[ 0.05894175  0.94105825]
[ 0.07489477  0.92510523]
[ 0.33929878  0.66070122]
[ 0.22839522  0.77160478]
[ 0.10161759  0.89838241]
[ 0.77684291  0.22315709]
[ 0.29007612  0.70992388]
[ 0.28683524  0.71316476]
[ 0.35493356  0.64506644]
[ 0.17597477  0.82402523]
[ 0.09673086  0.90326914]
[ 0.44843691  0.55156309]
[ 0.4125657  0.5874343]
[ 0.13855567  0.86144433]
[ 0.21275869  0.78724131]
[ 0.83201483  0.16798517]
[ 0.77486409  0.22513591]
[ 0.55267474  0.44732526]
[ 0.22221478  0.77778522]
[ 0.23721046  0.76278954]
[ 0.09337923  0.90662077]
[ 0.41469299  0.58530701]
[ 0.00637854  0.99362146]
[ 0.18106857  0.81893143]
[ 0.0058597  0.9941403]
[ 0.09050089  0.90949911]
[ 0.0282516  0.9717484]
[ 0.1586424  0.8413576]
[ 0.55256808  0.44743192]
[ 0.04964539  0.95035461]
[ 0.54795779  0.45204221]
[ 0.00885038  0.99114962]
[ 0.36110108  0.63889892]
[ 0.13099848  0.86900152]
[ 0.16687055  0.83312945]
[ 0.18261452  0.81738548]
[ 0.25494548  0.74505452]
[ 0.20054067  0.79945933]
[ 0.09696829  0.90303171]
[ 0.30432268  0.69567732]
[ 0.20597936  0.79402064]
[ 0.68726789  0.31273211]
[ 0.13151263  0.86848737]
[ 0.31350558  0.68649442]
[ 0.15571797  0.84428203]
[ 0.29520599  0.70479401]
[ 0.21275997  0.78724003]
[ 0.12877892  0.87122108]
[ 0.20096749  0.79903251]
[ 0.59488033  0.40511967]
[ 0.048767  0.951233]
[ 0.20447738  0.79552262]
[ 0.2176551  0.7823449]
[ 0.2459665  0.7540335]
[ 0.19886586  0.80113414]
[ 0.42486431  0.57513569]
[ 0.00593858  0.99406142]
[ 0.01340014  0.98659986]
[ 0.35809485  0.64190515]
[ 0.98654982  0.01345018]
[ 0.98650528  0.01349472]
[ 0.06963506  0.93036494]
[ 0.82877938  0.17122062]
[ 0.23608357  0.76391643]
[ 0.14773385  0.85226615]
[ 0.12957232  0.87042768]
[ 0.98575724  0.01424276]
[ 0.8165671  0.1834329]
[ 0.19392891  0.80607109]
[ 0.1021996  0.8978004]
[ 0.31864121  0.68135879]
[ 0.00885038  0.99114962]
[ 0.19457255  0.80542745]
[ 0.25454372  0.74545628]
[ 0.54165072  0.45834928]
[ 0.61298051  0.38701949]
[ 0.14644617  0.85355383]
[ 0.16180849  0.83819151]
[ 0.23489748  0.76510252]
[ 0.09092446  0.90907554]
[ 0.38482485  0.61517515]
[ 0.10490531  0.89509469]
[ 0.38877559  0.61122441]
[ 0.23544075  0.76455925]
[ 0.39027131  0.60972869]
[ 0.17911429  0.82088571]
[ 0.15322337  0.84677663]
[ 0.38321595  0.61678405]
[ 0.10229514  0.89770486]
[ 0.38616869  0.61383131]
[ 0.48715163  0.51284837]
[ 0.13480349  0.86519651]
[ 0.16145497  0.83854503]
[ 0.2347853  0.7652147]
[ 0.31189185  0.68810815]
[ 0.13046697  0.86953303]
[ 0.11003149  0.88996851]
[ 0.24303693  0.75696307]
[ 0.31482781  0.68517219]
[ 0.50287342  0.49712658]
[ 0.28936299  0.71063701]
[ 0.58196905  0.41803095]
[ 0.06304796  0.93695204]
[ 0.38321553  0.61678447]
[ 0.09641287  0.90358713]
[ 0.27523843  0.72476157]
[ 0.20320555  0.79679445]
[ 0.19191963  0.80808037]
[ 0.1713891  0.8286109]
[ 0.26008946  0.73991054]
[ 0.28429776  0.71570224]
[ 0.19535481  0.80464519]
[ 0.3622443  0.6377557]
[ 0.19307815  0.80692185]
[ 0.2275056  0.7724944]
[ 0.093182  0.906818]
[ 0.12502185  0.87497815]
[ 0.29271025  0.70728975]
[ 0.17079117  0.82920883]
[ 0.14390439  0.85609561]
[ 0.1598105  0.8401895]
[ 0.17378644  0.82621356]
[ 0.61968032  0.38031968]
[ 0.00885038  0.99114962]
[ 0.00583851  0.99416149]
[ 0.39676824  0.60323176]
[ 0.10036974  0.89963026]
[ 0.02959127  0.97040873]
[ 0.12502185  0.87497815]
[ 0.16203385  0.83796615]
[ 0.26706144  0.73293856]
[ 0.16737788  0.83262212]
[ 0.26039838  0.73960162]
[ 0.17573132  0.82426868]
[ 0.32790953  0.67209047]
[ 0.25332021  0.74667979]
[ 0.09481404  0.90518596]
[ 0.37046649  0.62953351]
[ 0.28704446  0.71295554]
[ 0.10159081  0.89840919]
[ 0.32521472  0.67478528]
[ 0.20660308  0.79339692]
[ 0.63238758  0.36761242]
[ 0.28790366  0.71209634]
[ 0.13151263  0.86848737]
[ 0.00593858  0.99406142]
[ 0.6672261  0.3327739]
[ 0.12147693  0.87852307]
[ 0.08426814  0.91573186]
[ 0.00885038  0.99114962]
[ 0.80153755  0.19846245]
[ 0.06565497  0.93434503]
[ 0.26680785  0.73319215]
[ 0.08255999  0.91744001]
[ 0.21791745  0.78208255]
[ 0.08567007  0.91432993]
[ 0.2384001  0.7615999]
[ 0.00559615  0.99440385]
[ 0.2811209  0.7188791]
[ 0.4319383  0.5680617]
[ 0.28642578  0.71357422]
[ 0.28992487  0.71007513]
[ 0.23544075  0.76455925]
[ 0.19219327  0.80780673]
[ 0.01341773  0.98658227]
[ 0.0131107  0.9868893]
[ 0.38637845  0.61362155]
[ 0.05293179  0.94706821]
[ 0.18957202  0.81042798]
[ 0.2491674  0.7508326]
[ 0.04453799  0.95546201]
[ 0.11851038  0.88148962]
[ 0.1635946  0.8364054]
[ 0.21844011  0.78155989]
[ 0.03426239  0.96573761]
[ 0.27784033  0.72215967]
[ 0.08426814  0.91573186]
[ 0.12998394  0.87001606]
